plant	species	class	total	V1	V2	endV1	endV2	start_hetero	end_hetero	zeroV1start	zeroV2start	zeroV1end	zeroV2end
Pcae1	caerulea	C	16	3.253698751	-9.392604244	-34.24683571	14.6112842	1	16	0	0	-37.50053446	24.00388844
Pcap4	capsularis	B	16	13.50055165	-16.71555076	12.12731435	-28.87684945	1	16	0	0	-1.3732373	-12.16129869
Pcoc1	coccinea	G	16	16.63850531	14.14580939	27.70515972	9.185987126	1	16	0	0	11.06665441	-4.959822264
Pcoc3	coccinea	G	16	10.31416433	22.40525999	13.45656783	15.63267904	1	16	0	0	3.1424035	-6.77258095
Pcri2	cristalina	G	16	3.151868132	22.17285869	10.84052743	18.25166959	1	16	0	0	7.688659298	-3.9211891
Pedm2	edmundoi	C	16	1.438691186	-14.98654566	-27.80777868	5.070763289	1	16	0	0	-29.24646987	20.05730895
Pedm3	edmundoi	C	16	1.293561452	-15.29648408	-25.99571411	10.72873309	1	16	0	0	-27.28927556	26.02521717
Pfii2	foetida	D	16	1.573240569	-10.16696118	-6.778754502	13.97476328	1	16	0	0	-8.351995071	24.14172446
Pgal6	galbana	G	16	8.818941717	26.81255678	10.72432217	26.43492155	1	16	0	0	1.905380453	-0.37763523
Pgib3	gibertii	C	16	37.54699847	16.55968299	-25.4121342	17.40546899	1	16	0	0	-62.95913267	0.845786
Pmaf3	maliformis	G	16	-7.32441163	24.3535204	14.00703801	-13.4608894	1	16	0	0	21.33144964	-37.8144098
Pmal4	malacophylla	G	16	5.364716499	15.39452796	31.14908454	8.293602443	1	16	0	0	25.78436804	-7.100925517
Pmic1	micropetala	B	16	-1.356472721	-4.640063684	4.171683802	-13.0503169	1	16	0	0	5.528156523	-8.410253216
Pmie1	miersii	E	16	9.562049314	9.703102039	18.56606861	0.650395871	1	16	0	0	9.004019296	-9.052706168
Pmie6	miersii	E	16	-1.247654434	24.81288051	23.61993619	5.72951483	1	16	0	0	24.86759062	-19.08336568
Pmis5	misera	A	16	3.107282509	-13.03413527	-13.18583166	-22.39503093	1	16	0	0	-16.29311417	-9.36089566
Pmuc1	mucronata	G	16	13.33254203	-2.202489995	15.21988561	21.07191161	1	16	0	0	1.88734358	23.27440161
Porg1	organensis	B	16	13.04574095	-16.25504596	-0.148697324	-27.21323719	1	16	0	0	-13.19443827	-10.95819123
Pset1	setacea	C	16	-19.7186118	-2.499281292	-33.27228237	17.28372246	1	16	0	0	-13.55367057	19.78300375
Psub11	suberosa	C	16	-7.918241024	-18.41235668	-34.91357937	14.54738905	1	16	0	0	-26.99533835	32.95974573
Ptlo5	triloba	E	16	1.410758509	4.542459557	7.78881023	-16.5978247	1	16	0	0	6.378051721	-21.14028426
Ptri8	tricuspis	B	16	-0.371958287	-16.39606659	-17.44244793	-14.09761499	1	16	0	0	-17.07048964	2.2984516
Pcae3	caerulea	C	17	1.428723961	23.85412796	-21.89325705	-9.721247012	1	17	0	0	-23.32198101	-33.57537497
Pcap5	capsularis	B	17	5.916197267	-11.41003001	10.65644891	-30.32475648	1	17	0	0	4.740251643	-18.91472647
Pcoc2	coccinea	G	17	11.69533278	21.43581399	29.25379236	6.483475557	1	17	0	0	17.55845958	-14.95233843
Pcoc5	coccinea	G	17	12.27028174	15.38619569	5.572288816	21.85088775	1	17	0	0	-6.697992924	6.46469206
Pcri3	cristalina	G	17	6.440243314	22.2943016	10.30651153	19.49817761	1	17	0	0	3.866268216	-2.79612399
Pgal2	galbana	G	17	8.963630233	12.54577602	29.30563548	15.34846144	1	17	0	0	20.34200525	2.80268542
Pgal4	galbana	G	17	3.047104734	4.914365103	27.68831786	14.28868418	1	17	0	0	24.64121313	9.374319077
Pgra1	gracilis	D	18	-1.243488719	-7.137125845	-7.290763801	-13.81862783	1	17	0	0	-6.047275082	-6.681501985
Pmaf2	maliformis	G	17	6.930620827	7.462997531	31.46857516	6.73377918	1	17	0	0	24.53795433	-0.729218351
Pmaf4	maliformis	G	17	9.11241125	8.420437124	19.32032323	9.011131461	1	17	0	0	10.20791198	0.590694337
Pset2	setacea	C	17	-28.22576343	1.342854519	-26.27927892	13.77875235	1	17	0	0	1.94648451	12.43589783
Pset3	setacea	C	17	-11.67829562	2.159006133	-26.20076286	14.38075542	1	17	0	0	-14.52246724	12.22174929
Pbif3	biflora	B	18	2.54663839	-11.59059136	-1.489262408	-25.067103	1	18	0	0	-4.035900798	-13.47651164
Pedm1	edmundoi	C	18	8.932398287	-14.34085742	-26.43829013	2.270754351	1	18	0	0	-35.37068842	16.61161177
Pfoe1	foetida	D	18	11.61292187	-15.45774903	-7.534090557	10.29731221	1	18	0	0	-19.14701243	25.75506124
Pker2	kermesina	C	18	-12.2397481	-12.09333258	-24.18817795	6.276273985	1	18	0	0	-11.94842985	18.36960657
Pset4	setacea	C	18	-14.98148886	6.347439072	-26.72791717	15.94371829	1	18	0	0	-11.74642831	9.596279218
Pcri1	cristalina	G	19	8.776964451	20.36184981	13.18282768	18.25883342	1	19	0	0	4.405863229	-2.10301639
Pgra2	gracilis	D	19	-2.818643975	-14.47188019	-7.470089421	-13.64161052	1	19	0	0	-4.651445446	0.83026967
Ptlo3	triloba	E	19	18.21482706	-9.77161909	33.35232548	13.99557472	1	19	0	0	15.13749842	23.76719381
