plant	species	class	ontogeny	total	heteroblasty	V1	V2
Pcap2	capsularis	B	8	11	4	12.02484819	-29.80663055
Pcap2	capsularis	B	9	11	3	-15.44433277	19.50629763
Pcap3	capsularis	B	1	10	10	8.969840382	-27.36198534
Pcap3	capsularis	B	2	10	9	13.42015615	-23.82051836
Pcap3	capsularis	B	3	10	8	11.39930885	-27.23378172
Pcap3	capsularis	B	4	10	7	12.63362109	-25.37252466
Pcap3	capsularis	B	5	10	6	11.56408514	-27.14057726
Pcap3	capsularis	B	6	10	5	10.95761367	-26.06317826
Pcap3	capsularis	B	7	10	4	11.81220212	-26.13466475
Pcap3	capsularis	B	8	10	3	11.47508941	-27.13123899
Pcap4	capsularis	B	1	16	16	12.12731435	-28.87684945
Pcap4	capsularis	B	10	16	7	13.43957184	-23.60211712
Pcap4	capsularis	B	11	16	6	11.04566009	-27.46689089
Pcap4	capsularis	B	12	16	5	12.82836866	-25.66615753
Pcap4	capsularis	B	13	16	4	0.529134996	-25.89984988
Pcap4	capsularis	B	14	16	3	8.814216453	-30.91424656
Pcap4	capsularis	B	15	16	2	12.78350501	-25.43178489
Pcap4	capsularis	B	16	16	1	13.50055165	-16.71555076
Pcap4	capsularis	B	2	16	15	10.48438057	-31.21023752
Pcap4	capsularis	B	3	16	14	10.47580573	-30.78135819
Pcap4	capsularis	B	4	16	13	11.57522735	-30.98257913
Pcap4	capsularis	B	5	16	12	10.25731799	-31.61912936
Pcap4	capsularis	B	6	16	11	12.13441075	-28.55693117
Pcap4	capsularis	B	7	16	10	14.21130055	-25.57522476
Pcap4	capsularis	B	8	16	9	10.31696882	-29.95328672
Pcap4	capsularis	B	9	16	8	15.03608435	-27.45787666
Pcap5	capsularis	B	1	17	17	10.65644891	-30.32475648
Pcap5	capsularis	B	10	17	8	13.4098237	-27.85064079
Pcap5	capsularis	B	11	17	7	13.6942911	-26.1103992
Pcap5	capsularis	B	12	17	6	14.18833784	-28.59844239
Pcap5	capsularis	B	13	17	5	11.07082869	-31.25731029
Pcap5	capsularis	B	14	17	4	10.9165439	-29.14460437
Pcap5	capsularis	B	15	17	3	12.15486012	-28.86346727
Pcap5	capsularis	B	16	17	2	10.72004763	-17.33593503
Pcap5	capsularis	B	17	17	1	5.916197267	-11.41003001
Pcap5	capsularis	B	2	17	16	10.16550115	-31.4598484
Pcap5	capsularis	B	3	17	15	12.49573727	-30.87503877
Pcap5	capsularis	B	4	17	14	12.24290479	-28.46460988
Pcap5	capsularis	B	5	17	13	10.77371401	-31.21852762
Pcap5	capsularis	B	6	17	12	14.31168189	-25.72060254
Pcap5	capsularis	B	7	17	11	13.88635954	-31.59342805
Pcap5	capsularis	B	8	17	10	12.84464937	-31.30823203
Pcap5	capsularis	B	9	17	9	10.76838917	-31.14427868
Pcap6	capsularis	B	1	14	14	11.53563329	-25.85248801
Pcap6	capsularis	B	10	14	5	11.74096888	-29.21442232
Pcap6	capsularis	B	11	14	4	14.20704815	-24.67863311
Pcap6	capsularis	B	12	14	3	16.02800377	-26.49006861
Pcap6	capsularis	B	13	14	2	13.21942292	-23.11972772
Pcap6	capsularis	B	14	14	1	3.44342353	-7.844942443
Pcap6	capsularis	B	2	14	13	13.54488415	-26.46287124
Pcap6	capsularis	B	3	14	12	15.02963149	-27.38268973
